V0	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	Title
-0.126160	-0.023182	-0.015244	0.087886	0.159351	-0.015270	-0.096105	0.135059	-0.067842	0.154923	0.037482	-0.015988	0.006258	0.026056	-0.100130	-0.049331	0.061513	0.176718	0.089511	0.069364	-0.017195	0.109685	-0.074281	0.035913	0.053317	-0.012267	0.050793	0.099446	0.194904	-0.124040	0.033851	0.118881	-0.082035	0.111191	-0.184898	-0.067095	-0.062335	0.194367	-0.076014	-0.154246	-0.067180	-0.029304	0.058232	-0.082289	-0.086376	0.119500	-0.195729	0.134191	0.509214	0.149589	0.048207	0.295463	-0.175984	0.085458	-0.105786	-0.081982	0.055020	0.048139	0.000346	-0.106743	0.072970	-0.086513	0.038216	0.139898	-0.118809	-0.068413	-0.047498	-0.071683	0.002422	0.033041	Don Quixote
-0.119834	-0.106096	-0.024615	0.014543	-0.043299	-0.037531	-0.035498	0.108641	0.033873	0.142566	0.004622	0.047078	-0.016790	-0.043951	0.040321	0.152126	0.013056	0.039507	0.095519	0.156373	0.088621	0.089862	-0.060729	-0.016535	-0.061030	0.019540	-0.002254	-0.122374	0.048195	-0.032135	-0.002629	0.063083	0.057524	-0.055378	-0.092898	0.067934	0.082053	0.061828	0.000923	-0.065439	0.026004	0.126720	0.087003	0.088351	-0.033594	0.041883	-0.123181	0.116801	-0.077090	0.015548	0.131967	-0.117323	-0.297384	0.175918	0.174884	0.130202	0.108829	-0.027184	0.181223	0.344063	0.210374	0.271590	0.251620	-0.306191	0.232641	0.000500	0.157677	0.058463	0.019905	-0.025736	Dracula
-0.121885	0.060817	-0.145277	-0.055793	-0.041261	0.043261	0.157448	-0.007567	-0.040614	-0.158655	-0.024833	0.045062	0.063429	0.151744	-0.007427	-0.171788	0.039764	-0.020988	0.047215	0.007058	0.086551	0.021263	-0.022267	-0.023796	-0.080848	0.019279	0.121898	-0.201708	-0.142766	-0.054511	0.043225	-0.092407	0.097399	0.068627	0.097908	0.035178	0.181805	0.111768	-0.025334	-0.138503	0.096297	-0.167982	0.141082	0.097770	0.191707	-0.111342	-0.002157	-0.074131	0.051282	0.242209	-0.028445	-0.020617	0.051336	0.137831	-0.254249	-0.000760	-0.080801	-0.254488	0.017876	0.303266	0.077759	0.155920	0.102167	0.301218	-0.231697	0.132429	0.024226	-0.013516	-0.044701	0.057487	Dubliners
-0.129305	0.066188	-0.161291	-0.051804	-0.020249	0.002886	0.200361	-0.042762	0.009868	-0.183723	0.033547	0.098787	-0.146516	0.148728	-0.109497	0.223270	0.032039	0.090141	-0.106956	-0.004092	0.053419	-0.010876	-0.100444	0.146750	-0.020779	0.141883	0.102343	-0.084701	-0.115721	0.186320	0.081793	-0.050889	-0.165009	0.075588	0.133352	-0.054029	0.095836	0.068089	-0.138703	-0.060944	-0.086385	0.275330	-0.096390	-0.155614	-0.324634	-0.148656	0.031575	0.160897	0.102518	0.040728	0.068011	-0.045508	0.124405	0.042056	0.281944	-0.115099	-0.183232	0.223011	-0.050972	0.090267	0.008961	-0.061136	0.029566	0.098331	-0.020102	0.001717	0.086204	0.001311	0.000170	0.013325	Ethan Frome
-0.130819	-0.104132	0.098541	0.000494	-0.108461	-0.234181	0.059933	0.292335	0.241260	0.054759	-0.193200	0.021459	-0.157546	0.020610	-0.091955	-0.081045	-0.043299	0.019477	-0.012161	0.038149	-0.147338	-0.005604	0.005864	-0.035807	0.029798	-0.046944	0.056231	0.132631	-0.038710	0.004290	-0.013431	-0.160436	-0.075110	0.040530	-0.069244	-0.062357	-0.204050	-0.080103	0.021520	-0.123868	0.057281	-0.152566	0.161038	0.053736	0.000769	0.140856	-0.013799	0.020062	-0.029278	0.025517	-0.084494	0.131932	0.276365	0.007864	0.115053	-0.016434	-0.393891	0.038303	-0.069354	0.090130	-0.095762	0.178760	0.130410	-0.201153	-0.065888	0.055396	-0.123786	-0.003091	0.155827	0.049092	Frankenstein
-0.127744	-0.011815	0.058163	-0.139684	-0.222882	-0.013404	0.055542	0.159222	0.119497	-0.107377	-0.027982	-0.087008	0.100874	-0.069255	0.027032	-0.098379	0.128780	-0.213500	-0.291184	0.179169	-0.051139	-0.011251	0.017264	0.042274	-0.007968	0.091366	-0.003490	-0.114208	0.167794	0.051066	0.027210	0.106376	0.052665	0.081916	0.101474	0.084647	0.056706	-0.005883	-0.023041	0.036698	0.065519	-0.020907	0.016604	-0.045999	0.021123	0.050080	-0.168890	-0.056969	0.068943	0.051434	0.246909	-0.219502	-0.322110	-0.068011	0.099961	-0.107885	-0.020976	0.027175	-0.277377	-0.273851	-0.043077	0.201157	-0.105100	0.039889	-0.076080	0.129231	-0.130729	0.040941	0.064950	0.025030	Heart of Darkness
-0.135511	0.122736	0.142493	0.002517	0.077407	-0.061084	0.059748	0.069844	0.006594	-0.001484	-0.028444	0.023336	-0.069327	0.145555	-0.175150	-0.178814	-0.019404	0.156424	-0.125756	0.049857	-0.022331	-0.012301	0.036387	-0.015633	0.023957	-0.136677	0.070435	0.008947	-0.065974	0.009522	-0.018710	-0.130045	-0.140976	0.021012	0.031704	0.008604	-0.057989	0.039937	-0.244904	0.113614	-0.089449	-0.109480	0.157943	0.065471	-0.014599	0.172305	0.160130	0.111011	0.037703	0.059799	0.209281	-0.143557	0.001724	-0.173266	0.085946	0.036423	0.145384	-0.365751	-0.010153	0.048162	0.076751	-0.164058	-0.286689	0.029295	0.339390	0.025455	0.171946	0.041657	0.039199	-0.018898	Ivanhoe
-0.117767	-0.182901	-0.019939	-0.057874	-0.099446	-0.112904	-0.016185	0.071508	0.118319	0.024162	-0.139992	0.042928	0.024685	-0.000052	-0.037495	0.030840	0.015736	-0.102097	-0.038215	0.051536	-0.007138	-0.123153	-0.016761	0.001636	-0.103965	-0.078032	-0.007088	-0.072556	-0.013434	0.048507	-0.060805	-0.016174	-0.060359	0.099010	-0.033772	0.082446	-0.125513	0.006807	-0.006517	0.016056	-0.004566	-0.050011	-0.085703	-0.019210	-0.023216	0.045762	0.047683	0.046697	-0.084099	-0.072054	-0.093830	0.004743	-0.018081	0.050849	-0.055414	-0.132361	0.153570	0.006752	-0.034800	-0.016793	0.063747	-0.016522	-0.074781	-0.032547	-0.200689	-0.073437	0.393983	-0.593327	-0.333756	-0.151995	Jane Eyre
-0.131335	0.138119	0.075095	-0.108605	-0.017495	0.103724	0.025864	0.020056	0.003258	-0.025471	0.016891	-0.053149	0.016846	-0.029439	0.035162	-0.022467	-0.059400	-0.088593	0.081689	-0.073289	-0.055593	-0.012172	0.041343	0.160838	-0.078230	0.176026	0.005151	0.002115	-0.010869	-0.094498	0.139437	0.030829	-0.060431	-0.021084	0.028217	-0.034553	0.121793	-0.085438	-0.050671	0.075172	-0.050811	0.035924	0.122709	-0.062119	0.174325	0.082515	0.065387	-0.200716	0.052454	-0.056476	-0.185318	0.288924	0.012799	0.047467	0.082250	-0.321689	0.105021	0.187981	0.095040	0.146773	0.090806	0.244481	-0.232362	0.057399	0.379843	0.059750	-0.139136	-0.235928	0.063990	-0.001686	Les Misérables
-0.110789	-0.084075	-0.162513	0.003368	0.120318	-0.183095	-0.094140	-0.139704	-0.003490	0.009386	-0.137362	-0.000643	0.172126	-0.034748	-0.015361	0.124315	0.010803	0.032198	0.027657	-0.110963	0.073246	0.008656	-0.106747	0.027953	-0.034163	0.068408	-0.100361	-0.022434	-0.062563	-0.053119	0.019015	0.183767	0.022920	-0.046925	0.009133	-0.142830	0.031468	-0.208295	0.088142	0.301656	-0.058444	0.033017	-0.007561	-0.002483	0.372609	0.131511	-0.089006	0.343908	0.127966	0.177268	0.224251	-0.153106	0.327146	-0.001303	0.056578	-0.078741	0.060684	-0.000166	-0.084397	0.024338	0.016618	0.037522	0.000332	-0.047364	-0.064514	0.020061	-0.085717	-0.049985	0.042512	-0.021786	Little Women
